		pięść		pjej̃ɕt͡ɕ	
pǫ̀to	polish	pęto	ˈpɛntɔ	ˈpɛntɔ	
vȏzъ	polish	wóz	vus		
l̨ūbìti	polish	lubić	ˈlubʲit͡ɕ		
motyka	polish	motyka	mɔˈtɨka		
àblъko	polish	jabɫko	ˈjabwkɔ		
žàba	polish	żaba	ˈʐaba		
niže	polish	niż	ɲiʂ		
orь̀lъ	polish	orzeɫ	ˈɔʐɛw		
četỳre	polish	cztery	ˈt͡ʂtɛrɨ		
pasti	polish	paść	paɕt͡ɕ		
čȇrpъ	polish	trzop	tʂɔp		
dvojь	polish	dwoje	ˈdvɔjɛ		
bě̑sъ	polish	bies	bʲɛs		
dę̄snò	polish	dziąsɫa	ˈd͡ʑɔ̃swa	ˈd͡ʑɔw̃swa	
mьn̨eje	polish	mniej	mɲɛj		
tě̑sto	polish	ciasto	ˈt͡ɕastɔ		
vaditi	polish	wadzić	ˈvad͡ʑit͡ɕ		
olьxa	polish	olcha	ˈɔlxa		
rūnò	polish	runo	ˈrunɔ		
ěrьcь	polish	jarzec	ˈjaʐɛt͡s		
kūrìti	polish	kurzyć	ˈkuʐɨt͡ɕ		
tьma	polish	ćma	t͡ɕma		
dьrznǫti	polish	darznąć	ˈdarznɔɲt͡ɕ	ˈdarznɔɲt͡ɕ	
bȁba	polish	baba	ˈbaba		
ovъ	polish	ów	uf		
gně̄zdò	polish	gniazdo	ˈɡɲazdɔ		
lǫ̑gъ	polish	ɫąg	wɔŋk	wɔŋk	
ě̑rъ	polish	jary	ˈjarɨ		
bādàti	polish	badać	ˈbadat͡ɕ		
strъjь	polish	stryj	strɨj		
bìtva	polish	bitwa	ˈbʲitfa		
pěti	polish	piać	pʲat͡ɕ		
drǫ́gъ	polish	drąg	drɔŋk	drɔŋk	
kojariti	polish	kojarzyć	kɔˈjaʐɨt͡ɕ		
družìna	polish	drużyna	druˈʐɨna		
tьlò	polish	tɫo	twɔ		
slǫ̀ka	polish	sɫomka	ˈswɔmka		
grǫ̀da	polish	gruda	ˈɡruda		
čȇrvo	polish	trzewo	ˈtʂɛvɔ		
oba	polish	oba	ˈɔba		
gъ̀rdlo	polish	gardɫo	ˈɡardwɔ		
pòlxъ	polish	pɫochy	ˈpwɔxɨ		
lisъ	polish	lis	lʲis		
krūpà	polish	krupy	ˈkrupɨ		
kuzn̨a	polish	kuźnia	ˈkuʑɲa		
mǭtìti	polish	mącić	ˈmɔɲt͡ɕit͡ɕ		
pȗstъ	polish	pusty	ˈpustɨ		
želdica	polish	żɫód	ʐwut		
sȗxъ	polish	suchy	ˈsuxɨ		
mě̑sìti	polish	miesić	ˈmʲɛɕit͡ɕ		
kokotъ	polish	kokot	ˈkɔkɔt		
vesnà	polish	wiosna	ˈvʲɔsna		
bojь	polish	bój	buj		
bòlto	polish	bɫoto	ˈbwɔtɔ		
čadъ	polish	czad	t͡ʂat		
vě̀trъ	polish	wiatr	vʲatr		
žuriti	polish	żurzyć się 	ˈʐuʐɨt͡ɕ ɕɛ		
mèčь	polish	miecz	mʲɛt͡ʂ		
sъlojь	polish	sɫój	swuj		
ędza	polish	jędza	ˈjɛnd͡za		
bȏrgъ	polish	bróg	bruk		
bě̄dà	polish	bieda	ˈbʲɛda		
dȏrgъ	polish	drogi	ˈdrɔɡʲi		
těsnъ	polish	ciasny	ˈt͡ɕasnɨ		
dě̀dъ	polish	dziad	d͡ʑat		
prosìti	polish	prosić	ˈprɔɕit͡ɕ		
vьsь	polish	wieś	ˈvʲɛɕ		
lìpa	polish	lipa	ˈlʲipa		
čùdo	polish	cudo	ˈt͡sudɔ		
mъdьlь	polish	mdɫy	mdwɨ		
mȃzъ	polish	maź	maɕ		
tỳsǫti	polish	tysiąc	ˈtɨɕɔnt͡s		
vȅčerъ	polish	wieczór	ˈvʲɛt͡ʂur		
dъxъ	polish	dech	dɛx		
glìna	polish	glina	ˈɡlʲina		
sъsàti	polish	ssać	ssat͡ɕ		
drobìti	polish	drobić	ˈdrɔbʲit͡ɕ		
gǫsti	polish	gąść	ɡɔ̃ɕt͡ɕ		
kyvati	polish	kiwać	ˈkʲivat͡ɕ		
bràtъ	polish	brat	brat		
ǫgorь	polish	węgorz	ˈvɛŋɡɔʂ		
ȍlkъtь	polish	ɫokieć	ˈwɔkʲɛt͡ɕ		
dȗxъ	polish	duch	dux		
kaznь	polish	kaźń	kaʑɲ		
žalь	polish	żal	ʐal		
bòrti	polish	bróć się	brut͡ɕ ɕɛ		
ȁsenъ	polish	jesion	ˈjɛɕɔn		
pòlmy	polish	pɫomień	ˈpwɔmʲɛɲ		
gòrxъ	polish	groch	ɡrɔx		
etì	polish	jebać	ˈjɛbat͡ɕ		
bujьnъ	polish	bujny	ˈbujnɨ		
grobъ	polish	grób	ɡrup		
drъgati	polish	drgać	drɡat͡ɕ		
osъ̀tъ	polish	oset	ˈɔsɛt		
podъ̀šьva	polish	podeszwa	pɔˈdɛʂfa		
bỳti	polish	być	bɨt͡ɕ		
gorьkъ	polish	gorzki	ˈɡɔʂkʲi		
mělъ	polish	miaɫ	mʲaw		
byvati	polish	bywać	ˈbɨvat͡ɕ		
būdìti	polish	budzić	ˈbud͡ʑit͡ɕ		
jьměti	polish	mieć	mʲɛt͡ɕ		
smьjàti	polish	śmiać się	ɕmʲat͡ɕ ɕɕɛ		
ȇdlь	polish	jodɫa	ˈjɔdwa		
ȍpakъ	polish	opak	ˈɔpak		
klekъtati	polish	klektać	ˈklɛktat͡ɕ		
olbǭtь	polish	ɫabędź	ˈwabɛɲt͡ɕ		
jesìka	polish	osa	ˈɔsa		
kǫ̑sъ	polish	kęs	kɛ̃s		
gvozdь	polish	gwóźdź	ɡvuɕt͡ɕ		
pri	polish	przy	pʂɨ		
sě̀nь	polish	sień	ɕɛɲ		
màslo	polish	masɫo	ˈmaswɔ		
trāvìti	polish	trawić	ˈtravʲit͡ɕ		
moltiti	polish	mɫócić	ˈmwut͡ɕit͡ɕ		
sę̀gati	polish	sięgać	ˈɕɛŋɡat͡ɕ		
dojìti	polish	doić	ˈdɔit͡ɕ		
lokati	polish	ɫokać	ˈwɔkat͡ɕ		
luščiti	polish	ɫuszczyć	ˈwuʂt͡ʂɨt͡ɕ		
vȏrgъ	polish	wróg	vruk		
mošьna	polish	moszna	ˈmɔʂna		
oje	polish	oje	ˈɔjɛ		
svě̑tъ	polish	świat	ɕfʲat		
myto	polish	myto	ˈmɨtɔ		
ȍlovo	polish	oɫów	ˈɔwuf		
lьjati	polish	lać	lat͡ɕ		
pretivъ	polish	przeciew	ˈpʂɛt͡ɕɛf		
volděti	polish	wɫadać	ˈvwadat͡ɕ		
pьkъlъ	polish	piekɫo	ˈpʲɛkwɔ		
vъtorъjь	polish	wtóry	ˈfturɨ		
zobàti	polish	dziobać	ˈd͡ʑɔbat͡ɕ		
ě̀snъ	polish	jasny	ˈjasnɨ		
mokrъ	polish	mokry	ˈmɔkrɨ		
libivъ	polish	lubawy	luˈbavɨ		
gně̀vъ	polish	gniew	ɡɲɛf		
krъxa	polish	krech	krɛx		
ajьce	polish	jajko	ˈjajkɔ		
ǫzъkъ	polish	wązki	ˈvɔ̃skʲi		
pèlti	polish	pleć	plɛt͡ɕ		
otъ	polish	od(e)	ˈɔdɛ		
gubìti	polish	gubić	ˈɡubʲit͡ɕ		
sìvъ	polish	siwy	ˈɕivɨ		
sedъlò	polish	siodɫo	ˈɕɔdwɔ		
olni	polish	ɫoni	ˈwɔɲi		
ěro	polish	jar	jar		
my	polish	my	mɨ		
xȏldъ	polish	chɫód	xwut		
tučьnъ	polish	tuczny	ˈtut͡ʂnɨ		
gǫ̑sь	polish	gęś	ɡɛ̃ɕ		
xvojь	polish	choja	ˈxɔja		
dǫ̑bъ	polish	dąb	dɔmp		
vesti	polish	wieść	vʲɛɕt͡ɕ		
sę̀dzati	polish	sięgać	ˈɕɛŋɡat͡ɕ		
nùdja	polish	nędza	ˈnɛnd͡za		
kȏstь	polish	kość	kɔɕt͡ɕ		
želza	polish	zoɫzy	ˈzɔwzɨ		
lososь	polish	ɫosoś	ˈwɔsɔɕ		
jьmelo	polish	jemioɫa	jɛˈmʲɔwa		
žȅlǫdь	polish	żoɫądź	ˈʐɔwɔɲt͡ɕ		
dьl̨a	polish	dla	dla		
žìti	polish	żyć	ʐɨt͡ɕ		
tvorъ	polish	twór	tfur		
četverъ	polish	czworo	ˈt͡ʂfɔrɔ		
puxnǫti	polish	puchnąć	ˈpuxnɔɲt͡ɕ		
ju	polish	już	juʂ		
čérdъ	polish	trzoda	ˈtʂɔda		
lěgati	polish	legać	ˈlɛɡat͡ɕ		
mъšica	polish	mszyca	ˈmʂɨt͡sa		
ty	polish	ty	tɨ		
tręsti	polish	trząść	tʂɔ̃ɕt͡ɕ		
krǫ̑gъ	polish	krąg	krɔŋk		
sušìti	polish	suszyć	ˈsuʂɨt͡ɕ		
čьrstvъ	polish	czerstwy	ˈt͡ʂɛrstfɨ		
česàti	polish	czesać	ˈt͡ʂɛsat͡ɕ		
krakati	polish	krakać	ˈkrakat͡ɕ		
vy	polish	vy	vɨ		
čerěnь	polish	trzon	tʂɔn		
sovati	polish	suwać	ˈsuvat͡ɕ		
xomǫtъ	polish	chomąt	ˈxɔmɔnt		
ęzỳkъ	polish	język	ˈjɛ̃zɨk		
làjati	polish	ɫajać	ˈwajat͡ɕ		
lysъ	polish	ɫysy	ˈwɨsɨ		
mъknǫti	polish	mknąć	mknɔɲt͡ɕ		
sȏlь	polish	sól	sul		
pustìti	polish	puścić	ˈpuɕt͡ɕit͡ɕ		
žędьnъ	polish	żądny	ˈʐɔndnɨ		
golvà	polish	gɫowa	ˈɡwɔva		
jьmela	polish	jemioɫa	jɛˈmʲɔwa		
klęčati	polish	klęczeć	ˈklɛnt͡ʂɛt͡ɕ		
ězgarъ	polish	jażdż	jaʂt͡ʂ		
kudo	polish	kudyś	ˈkudɨɕ		
ědro	polish	jadro	ˈjadrɔ		
ęčьmy	polish	jęczmień	ˈjɛnt͡ʂmʲɛɲ		
mižati	polish	mżeć	mʐɛt͡ɕ		
domovъ	polish	domowy	dɔˈmɔvɨ		
norà	polish	nora	ˈnɔra		
driskati	polish	drzystać	ˈdʐɨstat͡ɕ		
čixati	polish	czchać	t͡ʂxat͡ɕ		
lovìti	polish	ɫowić	ˈwɔvʲit͡ɕ		
pozdьnъ	polish	późny	ˈpuʑnɨ		
brìtva	polish	brzytwa	ˈbʐɨtfa		
òlkomъjь	polish	ɫakomy	waˈkɔmɨ		
dъvojь	polish	dwoje	ˈdvɔjɛ		
bě̀gati	polish	biegać	ˈbʲɛɡat͡ɕ		
bȏsъ	polish	bosy	ˈbɔsɨ		
pętà	polish	pięta	ˈpʲɛnta		
grę̄dà	polish	grzęda	ˈɡʐɛnda		
dьrzъkъ	polish	dziarski	ˈd͡ʑarskʲi		
sǫ-	polish	są-	sɔ̃		
dupę	polish	dupa	ˈdupa		
trāvà	polish	trawa	ˈtrava		
mȏrkъ	polish	mrok	mrɔk		
vysòkъ	polish	wysoki	vɨˈsɔkʲi		
ȍlkъtъ	polish	ɫokieć	ˈwɔkʲɛt͡ɕ		
znàti	polish	znać	znat͡ɕ		
sỳtъjь	polish	syty	ˈsɨtɨ		
dertì	polish	drzeć	dʐɛt͡ɕ		
tesъ	polish	cios	t͡ɕɔs		
mȏltъ	polish	mɫot	mwɔt		
sỳpati	polish	sypać	ˈsɨpat͡ɕ		
košarъ	polish	koszar	ˈkɔʂar		
pę̑stь	polish	pięść	pʲɛ̃ɕt͡ɕ		
mimo	polish	mimo	ˈmʲimɔ		
lǫ̑kъ	polish	ɫęk	wɛŋk		
ògn'ь	polish	ogień	ˈɔɡʲɛɲ		
živìca	polish	żywica	ʐɨˈvʲit͡sa		
edьnakъ	polish	jedynak	jɛˈdɨnak		
lȇdъ	polish	lód	lut		
trȗpъ	polish	trup	trup		
strǫkъ	polish	strąk	strɔŋk		
plesti	polish	pleść	plɛɕt͡ɕ		
konьcь	polish	koniec	ˈkɔɲɛt͡s		
nestì	polish	nieść	ɲɛɕt͡ɕ		
tęgati	polish	ciągać	ˈt͡ɕɔŋɡat͡ɕ		
emelo	polish	jemioɫa	jɛˈmʲɔwa		
drāpàti	polish	drapać	ˈdrapat͡ɕ		
slìva	polish	śliwa	ˈɕlʲiva		
bl̨ьvàti	polish	blwać	blvat͡ɕ		
tèrti	polish	trzeć	tʂɛt͡ɕ		
žeravь	polish	żuraw	ˈʐuraf		
ěrь	polish	jarz	jaʂ		
lъskъ	polish	ɫysk	wɨsk		
blě̑dъ	polish	blady	ˈbladɨ		
rȗx	polish	ruch	rux		
žę̀dlo	polish	żądɫo	ˈʐɔndwɔ		
vortìti	polish	wrócić	ˈvrut͡ɕit͡ɕ		
vixъrъ	polish	wicher	ˈvʲixɛr		
ěrina	polish	jarzyna	jaˈʐɨna		
pьsàti	polish	pisać	ˈpʲisat͡ɕ		
šìti	polish	szyć	ʂɨt͡ɕ		
žegti	polish	żec	ʐɛt͡s		
àgnę	polish	jagnię	ˈjaɡɲɛ		
glístъ	polish	glista	ˈɡlʲista		
bьčelà	polish	pszczoɫa	ˈpʂt͡ʂɔwa		
edinakъ	polish	jedynak	jɛˈdɨnak		
sǫdì	polish	sędzia	ˈsɛɲd͡ʑa		
gruda	polish	gruda	ˈɡruda		
aviti	polish	jawić	ˈjavʲit͡ɕ		
mъldni	polish	meɫnia	ˈmɛwɲa		
mitusь	polish	mituś	ˈmʲituɕ		
likъ	polish	lik	lʲik		
glìva	polish	gliwa	ˈɡlʲiva		
solvikъ	polish	sɫowik	ˈswɔvʲik		
miglъ	polish	mgɫa	mɡwa		
arьmò	polish	jarzmo	ˈjaʐmɔ		
molь	polish	mól	mul		
varìti	polish	warzyć	ˈvaʐɨt͡ɕ		
grǫziti	polish	grążyć	ˈɡrɔ̃ʐɨt͡ɕ		
vę̀dnǫti	polish	więdnąć	ˈvʲɛndnɔɲt͡ɕ		
žьltъ	polish	żóɫty	ˈʐuwtɨ		
mъrgati	polish	margać	ˈmarɡat͡ɕ		
nuriti	polish	nurzyć	ˈnuʐɨt͡ɕ		
kъrnъ	polish	kȧ̃rn	karn		
slỳšati	polish	sɫyszeć	ˈswɨʂɛt͡ɕ		
cě̄dìti	polish	cedzić	ˈt͡sɛd͡ʑit͡ɕ		
zę̀tь	polish	zięć	ʑɛɲt͡ɕ		
pǫgy	polish	pągwica	pɔŋˈɡvʲit͡sa		
dȃnь	polish	dań	daɲ		
pętъ	polish	piąty	ˈpʲɔntɨ		
dě́lъ	polish	dziaɫ	d͡ʑaw		
vъn	polish	w(e)	vɛ		
olbǭdь	polish	ɫabędź	ˈwabɛɲt͡ɕ		
tęgъ	polish	ciąg	t͡ɕɔŋk		
òrmo	polish	ramię	ˈramʲɛ		
gǫ̑stъ	polish	gęsty	ˈɡɛ̃stɨ		
būčàti	polish	buczeć	ˈbut͡ʂɛt͡ɕ		
gъ̑rdъ	polish	gardy	ˈɡardɨ		
gāsìti	polish	gasić	ˈɡaɕit͡ɕ		
velьkъ	polish	wielki	ˈvʲɛlkʲi		
rȏgъ	polish	róg	ruk		
česnъkъ	polish	czosnek	ˈt͡ʂɔsnɛk		
esera	polish	jesiory	jɛˈɕɔrɨ		
vь̀lna	polish	weɫna	ˈvɛwna		
běžàti	polish	bieżeć	ˈbʲɛʐɛt͡ɕ		
gleznъ	polish	glozna	ˈɡlɔzna		
lože	polish	ɫoże	ˈwɔʐɛ		
bьbrъ	polish	bóbr	bupr		
zȏbь	polish	dziób	d͡ʑup		
klekotъ	polish	klekot	ˈklɛkɔt		
grozà	polish	groza	ˈɡrɔza		
pjьvàti	polish	pluć	plut͡ɕ		
ne	polish	nie	ɲɛ		
grỳzti	polish	gryźć	ɡrɨɕt͡ɕ		
dьržati	polish	dzierż	d͡ʑɛrʂ		
nǫkati	polish	nukać	ˈnukat͡ɕ		
kǫtja	polish	kuczka	ˈkut͡ʂka		
mǫ̑žь	polish	mąż	mɔ̃ʂ		
elьcь	polish	jelec	ˈjɛlɛt͡s		
kopa	polish	kopa	ˈkɔpa		
dvòrъ	polish	dwór	dvur		
elъkъ	polish	jeɫkij	ˈjɛwkʲij		
bȇrgъ	polish	brzeg	bʐɛk		
sèdmь	polish	siedem	ˈɕɛdɛm		
lьněnъ	polish	lniany	ˈlɲanɨ		
trudъ	polish	trud	trut		
pǫ́tь	polish	pąć	pɔɲt͡ɕ		
pьcьlъ	polish	piekɫo	ˈpʲɛkwɔ		
pь̀lzati	polish	peɫzać	ˈpɛwzat͡ɕ		
ežь	polish	jeż	jɛʂ		
dělati	polish	dziaɫać	ˈd͡ʑawat͡ɕ		
brězgъ	polish	brzask	bʐask		
zьjati	polish	ziać	ʑat͡ɕ		
kroma	polish	kroma	ˈkrɔma		
kričati	polish	krzyczeć	ˈkʂɨt͡ʂɛt͡ɕ		
děti	polish	dziać	d͡ʑat͡ɕ		
korba	polish	kroba	ˈkrɔba		
kyxati	polish	kichać	ˈkʲixat͡ɕ		
erębina	polish	jarzębina	jaʐɛmˈbʲina		
vъnùkъ	polish	wnuk	vnuk		
palica	polish	palica	paˈlʲit͡sa		
močìti	polish	moczyć	ˈmɔt͡ʂɨt͡ɕ		
tỳsęti	polish	tysiąc	ˈtɨɕɔnt͡s		
pìti	polish	pić	pʲit͡ɕ		
čitati	polish	czytać	ˈt͡ʂɨtat͡ɕ		
pъlkъ	polish	puɫk	puwk		
pȏlzъ	polish	pɫoza	ˈpwɔza		
ostrъ	polish	ostry	ˈɔstrɨ		
kopъtъ	polish	kopieć	ˈkɔpʲɛt͡ɕ		
sъ̀nъ	polish	sen	sɛn		
golota	polish	goɫota	ɡɔˈwɔta		
brьvъnò	polish	bierwiono	bʲɛrˈvʲɔnɔ		
žìto	polish	żyto	ˈʐɨtɔ		
rovъ	polish	rów	ruf		
otjutiti	polish	cucić	ˈt͡sut͡ɕit͡ɕ		
kъde	polish	gdzie	ɡd͡ʑɛ		
svinьjà	polish	świnia	ˈɕfʲiɲa		
kъjь	polish	ki	kʲi		
gràdъ	polish	grad	ɡrat		
akъ	polish	jaki	ˈjakʲi		
bȏlgo	polish	bɫogo	ˈbwɔɡɔ		
gȏrdъ	polish	gród	ɡrut		
po	polish	po	pɛ ɔ		
pьrga	polish	pierzga	ˈpʲɛʐɡa		
dъ̑lgъ	polish	dɫug	dwuk		
žьvàti	polish	żuć	ʐut͡ɕ		
mьn̨e	polish	mniej	mɲɛj		
gǫgn̨ati	polish	gugnąć	ˈɡuɡnɔɲt͡ɕ		
mě̀riti	polish	mierzyć	ˈmʲɛʐɨt͡ɕ		
pȍrsę	polish	prosię	ˈprɔɕɛ		
načęti	polish	nacząć	ˈnat͡ʂɔɲt͡ɕ		
br̨ȗxъ	polish	brzuch	bʐux		
dūšà	polish	dusza	ˈduʂa		
stỳdnǫti	polish	stygnąć	ˈstɨɡnɔɲt͡ɕ		
bostì	polish	bóść	buɕt͡ɕ		
kòn̨ь	polish	koń	kɔɲ		
brusьnica	polish	brusznica	bruʂˈɲit͡sa		
znàmę	polish	znamię	ˈznamʲɛ		
męknǫti	polish	mięknąć	ˈmʲɛŋknɔɲt͡ɕ		
lemešь	polish	lemiesz	ˈlɛmʲɛʂ		
gъnǫti	polish	giąć	ɡʲɔɲt͡ɕ		
dupa	polish	dupa	ˈdupa		
klětь	polish	kleć	klɛt͡ɕ		
tajìti	polish	taić	ˈtait͡ɕ		
męzdro	polish	mięzdra	ˈmʲɛ̃zdra		
gъnàti	polish	gnać	ɡnat͡ɕ		
glumiti	polish	gɫumić	ˈɡwumʲit͡ɕ		
tě̀mę	polish	ciemię	ˈt͡ɕɛmʲɛ		
slȍvo	polish	sɫowo	ˈswɔvɔ		
grę̑znǫti	polish	grzeznąć	ˈɡʐɛznɔɲt͡ɕ		
pь̀rsь	polish	pierś	pʲɛrɕ		
lь̑nъ	polish	len	lɛn		
sě̀mę	polish	siemię	ˈɕɛmʲɛ		
dòlnь	polish	dɫoń	dwɔɲ		
čermъxa	polish	trzemcha	ˈtʂɛmxa		
ǫ̀glь	polish	węgiel	ˈvɛŋɡʲɛl		
rosà	polish	rosa	ˈrɔsa		
desętъ	polish	dziesiąty	d͡ʑɛˈɕɔntɨ		
xȏdъ	polish	chód	xut		
sě̑no	polish	siano	ˈɕanɔ		
pỳrьjь	polish	perz	pɛʂ		
glàdъkъ	polish	gɫadki	ˈɡwatkʲi		
vodìti	polish	wodzić	ˈvɔd͡ʑit͡ɕ		
ěskarъ	polish	jażdż	jaʂt͡ʂ		
kyjь	polish	kij	kʲij		
męti	polish	miąć	mʲɔɲt͡ɕ		
erębь	polish	jarząb	ˈjaʐɔmp		
volstь	polish	wɫość	vwɔɕt͡ɕ		
grìva	polish	grzywa	ˈɡʐɨva		
ȅsenь	polish	jesień	ˈjɛɕɛɲ		
mȇdъ	polish	miód	mʲut		
vę̄zàti	polish	wiązać	ˈvʲɔ̃zat͡ɕ		
br̨ȗxo	polish	brzuch	bʐux		
drevě	polish	drzewiej	ˈdʐɛvʲɛj		
bàjati	polish	bajać	ˈbajat͡ɕ		
suti	polish	suć	sut͡ɕ		
žìla	polish	żyɫa	ˈʐɨwa		
šurь	polish	szurzy	ˈʂuʐɨ		
bǫbьniti	polish	bębnić	ˈbɛmbɲit͡ɕ		
mamiti	polish	mamić	ˈmamʲit͡ɕ		
pьxati	polish	pchać	pxat͡ɕ		
plotъ	polish	pɫot	pwɔt		
glěnъ	polish	glon	ɡlɔn		
godъ	polish	gody	ˈɡɔdɨ		
elbedà	polish	lebioda	lɛˈbʲɔda		
kvȃsъ	polish	kwas	kfas		
l̨utъ	polish	luty	ˈlutɨ		
orsti	polish	róść	ruɕt͡ɕ		
kòlda	polish	kɫoda	ˈkwɔda		
glezno	polish	glozna	ˈɡlɔzna		
pęti	polish	piąć	pʲɔɲt͡ɕ		
natь	polish	nać	nat͡ɕ		
lozà	polish	ɫoza	ˈwɔza		
topìti	polish	topić	ˈtɔpʲit͡ɕ		
kremy	polish	krzemień	ˈkʂɛmʲɛɲ		
ritь	polish	rzyć	ʐɨt͡ɕ		
čermuxa	polish	trzemcha	ˈtʂɛmxa		
četvorъ	polish	czworo	ˈt͡ʂfɔrɔ		
glīstà	polish	glista	ˈɡlʲista		
bȏlgъ	polish	bɫogi	ˈbwɔɡʲi		
ěždžь	polish	jażdż	jaʂt͡ʂ		
klekotati	polish	klekotać	klɛˈkɔtat͡ɕ		
korà	polish	kora	ˈkɔra		
evьn̨a	polish	jawia	ˈjavʲa		
gnusiti	polish	gnusić się	ˈɡnuɕit͡ɕ ɕɛ		
bǫbьnъ	polish	bęben	ˈbɛmbɛn		
pokòjь	polish	pokój	ˈpɔkuj		
gǫgnati	polish	gugnąć	ˈɡuɡnɔɲt͡ɕ		
zijati	polish	ziać	ʑat͡ɕ		
krȋkъ	polish	krzyk	kʂɨk		
ešče	polish	jeszcze	ˈjɛʂt͡ʂɛ		
jьnogъ	polish	nóg	nuk		
stȏržь	polish	stróż	struʂ		
tri	polish	trzy	tʂɨ		
līcè	polish	lice	ˈlʲit͡sɛ		
syrovъ	polish	surowy	suˈrɔvɨ		
lękati	polish	lękać się	ˈlɛŋkat͡ɕ ɕɛ		
làpa	polish	ɫapa	ˈwapa		
bedrò	polish	biodro	ˈbʲɔdrɔ		
plěsnь	polish	pleśń	plɛɕɲ		
gadati	polish	gadać	ˈɡadat͡ɕ		
vě̀ra	polish	wiara	ˈvʲara		
lě̑sъ	polish	las	las		
virъ	polish	wir	vʲir		
krukъ	polish	kruk	kruk		
mъlva	polish	mowa	ˈmɔva		
pǫgъvica	polish	pągwica	pɔŋˈɡvʲit͡sa		
drobězgъ	polish	drobiazg	ˈdrɔbʲask		
kortъkъ	polish	krótki	ˈkrutkʲi		
čьrvь	polish	czerw	t͡ʂɛrf		
podъ	polish	pod(e)	ˈpɔdɛ		
pěsъ̀kъ	polish	piasek	ˈpʲasɛk		
lęcati	polish	lękać się	ˈlɛŋkat͡ɕ ɕɛ		
norvь	polish	narów	ˈnaruf		
bȁsn̨a	polish	baśń	baɕɲ		
blizna	polish	blizna	ˈblʲizna		
vě̀jati	polish	wiać	vʲat͡ɕ		
jьgrati	polish	grać	ɡrat͡ɕ		
krȍsno	polish	krosna	ˈkrɔsna		
pȍjāsъ	polish	pas	pas		
gordjь	polish	grodza	ˈɡrɔd͡za		
na	polish	na	na		
mьně	polish	mnie	mɲɛ		
duplò	polish	dziupɫo	ˈd͡ʑupwɔ		
òrdlo	polish	radɫo	ˈradwɔ		
strȗpъ	polish	strup	strup		
kъlbь	polish	kieɫb	kʲɛwp		
mě̀lъ	polish	mieɫy	ˈmʲɛwɨ		
ščítъ	polish	szczyt	ʂt͡ʂɨt		
grudъ	polish	gruda	ˈɡruda		
kopъtь	polish	kopieć	ˈkɔpʲɛt͡ɕ		
spěšiti	polish	śpieszyć	ˈɕpʲɛʂɨt͡ɕ		
děl̨ьma	polish	dla	dla		
čùti	polish	czuć	t͡ʂut͡ɕ		
pȍl̨e	polish	pole	ˈpɔlɛ		
aščerъ	polish	jaszczur	ˈjaʂt͡ʂur		
sьrna	polish	sarna	ˈsarna		
obuti	polish	obuć	ˈɔbut͡ɕ		
xvoja	polish	choja	ˈxɔja		
zelьje	polish	ziele	ˈʑɛlɛ		
zъlъ	polish	zɫy	zwɨ		
otьcь	polish	ojciec	ˈɔjt͡ɕɛt͡s		
žę̄dàti	polish	żądać	ˈʐɔndat͡ɕ		
jьlьmъ	polish	ilm	ilm		
sestrà	polish	siostra	ˈɕɔstra		
pěga	polish	piegi	ˈpʲɛɡʲi		
oldi	polish	ɫódź	wut͡ɕ		
dročiti	polish	droczyć	ˈdrɔt͡ʂɨt͡ɕ		
