pȍl̨e	upper_sorbian	polo	ˈpolo	ˈpɔlɔ		
ȅzero	upper_sorbian	jězer	ˈjɪzɛɐ	ˈjɪzɛɐ̯	!	USo jězor
drobìna	upper_sorbian	drobina	ˈdʀobʲina	ˈdʀobʲina		
kry	upper_sorbian	krej	kʀɛj	ˈkʀej		
jьmę	upper_sorbian	mjeno	ˈmʲɛno	ˈmʲɛnɔ		
ȁsenъ	upper_sorbian	jaseń	ˈjasɛnʲ	ˈjasen		
ȍlkъtъ	upper_sorbian	ɫochć	woxt͡ʃ	ˈwoxt͡ʃ		
sòrka	upper_sorbian	sroka	ˈsʀoka	ˈsʀoka		
blekъ	upper_sorbian	blek	ˈblɛk	ˈblɛk		
sъ̀nъ	upper_sorbian	són	sʊn	ˈsʊn		
čerdà	upper_sorbian	črjóda	ˈt͡sʀʲʊda	ˈt͡ʃʀʲʊda		
dь̑nь	upper_sorbian	dźeń	dʑɛnʲ	ˈd͡ʒenʲ		
tьma	upper_sorbian	ćma	t͡ʃma	ˈt͡ʃma		
zȍlto	upper_sorbian	zɫoto	ˈzwoto	ˈzwɔtɔ		
emela	upper_sorbian	jemjel	ˈjɛmʲɛl	ˈjemʲɛl		
melti	upper_sorbian	mlěć	mlɪt͡ʃ	ˈmlɪt͡ʃ		
blistati	upper_sorbian	bɫyskać	ˈbwɨskatɕ	ˈbɨskat͡ʃ		
vȏlsъ	upper_sorbian	wɫós	wʊs	ˈwʊs		
cě̄dìti	upper_sorbian	cydźić	ˈt͡sɨdʑit͡ʃ	ˈt͡sɨd͡ʒit͡ʃ		
ȍlkъtь	upper_sorbian	ɫochć	woxt͡ʃ	ˈwoxt͡ʃ		
pętà	upper_sorbian	pjata	ˈpʲata	ˈpʲata		
bьrati	upper_sorbian	brać	brat͡ʃ	ˈbrat͡ʃ		
vьsь	upper_sorbian	wjes	vʲɛs	ˈwʲɛs		
kaziti	upper_sorbian	kazyć	ˈkazɨtɕ	ˈkazɨt͡ʃ		
esètra	upper_sorbian	jesetr	ˈjɛsɛtʀ	ˈjɛsɛt		
čerslò	upper_sorbian	črjósɫo	ˈtʃʀʊswo	ˈt͡ʃʀʲʊswɔ		
mь̀čь	upper_sorbian	mječ	mʲɛt͡ʃ	ˈmet͡ʃ		
brьna	upper_sorbian	borno	ˈboɐno	ˈbɔɐ̯nɔ		
ě̑dь	upper_sorbian	jědź	jɪt͡ʃ	ˈjɪt͡ʃ		
sòlma	upper_sorbian	sɫoma	ˈswoma	ˈswoma		
bordatъ	upper_sorbian	brodaty	ˈbʀodatɨ	ˈbʀɔdatɨ		
borna	upper_sorbian	bróna	ˈbʀʊna	ˈbʀʊna		
medjà	upper_sorbian	mjeza	ˈmʲɛza	ˈmʲɛza		
kòn̨ь	upper_sorbian	kóń	kʊnʲ	ˈkʊjn		
kòlda	upper_sorbian	kɫóda	ˈkwʊda	ˈkwʊda		
oborъ	upper_sorbian	wobora	ˈoboʀa	ˈwobɔʀa		
vȅčerъ	upper_sorbian	wječor	ˈvʲɛˈt͡ʃoʀ	ˈwet͡ʃɔɐ̯		
gvozdь	upper_sorbian	hózdź	ʊɕt͡ʃ	ˈhʊst͡ʃ		
vertenò	upper_sorbian	wrjećeno	ˈʀʲɛɕt͡ʃɛno	ˈʀet͡ʃɛnɔ		
òlkomъjь	upper_sorbian	ɫakomy	ˈwakomɨ	ˈwakomɨ		
lěgati	upper_sorbian	lěhać	ˈlɪat͡ʃ	ˈlɪhat͡ʃ		
blekotъ	upper_sorbian	blekot	ˈblɛkot	ˈblɛkɔt		
lakati	upper_sorbian	ɫakać	ˈwakat͡ʃ	ˈwakat͡ʃ		
àsъtrě̄bъ	upper_sorbian	jatřob	ˈjat͡ʃob	ˈjat͡ʃop		
mě̀dь	upper_sorbian	mjedź	mʲɛt͡ʃ	ˈmet͡ʃ		
miglъ	upper_sorbian	mihel	ˈmʲihel	ˈmʲihɛl		
mòrzъ	upper_sorbian	mróz	mʀʊs	ˈmʀʊs		
bràtrъ	upper_sorbian	bratr	bʀatʀ	ˈbʀat		
pь̑nь	upper_sorbian	pjeń	pʲɛnʲ	ˈpen		
blizъkъ	upper_sorbian	blizki	ˈbliskʲi	ˈbliskʲi		
konьcь	upper_sorbian	kónc	ˈkʊnt͡s	ˈkʊnt͡s		
podorgъ	upper_sorbian	podroha	ˈpodʀoa	ˈpodʀoha		
gvě̄zdà	upper_sorbian	hwězda	ˈvʲɪzda	ˈvʲɪzda		
xvórstъ	upper_sorbian	chróst	xʀʊst	ˈkʀʊst		
nevě̀sta	upper_sorbian	njewjesta	ˈnʲɛjvɛsta	ˈnewʲɛsta		
akъjь	upper_sorbian	jakny	ˈjaknɨ	ˈjaknɨ		
solovikъ	upper_sorbian	syɫobik	ˈsɨwobʲik	ˈsɨwobʲik		
mȏstъ	upper_sorbian	móst	mʊst	ˈmʊst		
bàjati	upper_sorbian	bać	bat͡ʃ	ˈbat͡ʃ		
vixъrъ	upper_sorbian	wichor	ˈvʲixoɐ	ˈwʲixɔɐ̯		
spě̑xъ	upper_sorbian	spěch	spʲɪx	ˈspʲɪx		
ȅzerъ	upper_sorbian	jězer	ˈjɪzɛɐ	ˈjɪzɛɐ̯		
ebàti	upper_sorbian	jebać	ˈjɛbat͡ʃ	ˈjɛbat͡ʃ		
bol̨e	upper_sorbian	bóle	ˈbʊlɛ	ˈbʊlɛ		
mě̄zgà	upper_sorbian	měza	ˈmʲɪza	ˈmʲɪza		
tъ	upper_sorbian	tón	tʊn	ˈtʊn		
kvě̑tъ	upper_sorbian	květ	kʲɪt	ˈkʲɪt		
gně̀vъ	upper_sorbian	gněw	ɡnʲɪ	ˈhnʲɪw	!	USo hněw
bȏgъ	upper_sorbian	bóh	bʊh	ˈbʊ		
mèčь	upper_sorbian	mječ	mʲɛt͡ʃ	met͡ʃ		
drabъ	upper_sorbian	draby	ˈdʀabɨ	ˈdʀabɨ		
sȏlь	upper_sorbian	sól	sɨl	ˈsɨl		
bìti	upper_sorbian	bić	bʲit͡ʃ	ˈbʲit͡ʃ		
osa	upper_sorbian	wosa	ˈosa	ˈwɔsa		
òrdlo	upper_sorbian	radɫo	ˈʀadwo	ˈʀadwɔ		
mara	upper_sorbian	mara	ˈmaʀa	ˈmaʀa		
modrъ	upper_sorbian	módry	ˈmʊdʀɨ	ˈmʊdʀɨ		
vỳknǫti	upper_sorbian	wuknyć	ˈuknɨt͡ʃ	ˈuknɨt͡ʃ		
jьmelo	upper_sorbian	jemjel	ˈjɛmʲɛl	ˈjemʲɛl		
ǫ́žь	upper_sorbian	wuž	uʃ	ˈwuʃ		
orlьja	upper_sorbian	rola	ˈʀola	ˈʀɔla		
sèdmь	upper_sorbian	sydom	ˈsɨdom	ˈsɨdom		
ȇ̌dъ	upper_sorbian	jěd	jɪt	ˈjɪt		
olьša	upper_sorbian	wólša	ˈwʊlʃa	ˈwʊlʃa		
orь̀lъ	upper_sorbian	worjoɫ	ˈoʀʲow	ˈwoʀʲow		
mě̀sto	upper_sorbian	město	ˈmʲɪsto	ˈmʲɪstɔ		
erębina	upper_sorbian	jerjabina	ˈjɛʀʲabʲina	ˈjeʀʲabʲina		
lękti	upper_sorbian	lac	lat͡s	ˈlat͡s		
mikati	upper_sorbian	mikać	ˈmʲikat͡ʃ	ˈmʲikat͡ʃ		
rě̄kà	upper_sorbian	rěka	ˈʀʲɪka	ˈʀʲɪka		
gòrxъ	upper_sorbian	hroch	ʀox	ˈʀox		
čь̑stь	upper_sorbian	česć	t͡ʃɛst͡ʃ	ˈt͡ʃɛst͡ʃ		
xȏldъ	upper_sorbian	chɫód	ˈxwʊt	ˈkwʊt		
gatъ	upper_sorbian	hat	hat	ˈhat		
bagno	upper_sorbian	bahno	ˈbaxno	ˈbaɣnɔ		
pèlva	upper_sorbian	pluwa	ˈpluwa	ˈpluwa		
kroma	upper_sorbian	kroma	ˈkʀoma	ˈkʀoma		
sěkti	upper_sorbian	syc	sɨt͡s	ˈsɨt͡s		
rědъkъ	upper_sorbian	rědki	ˈʀʲɪtkʲi	ˈʀʲɪtkʲi		
bèrmę	upper_sorbian	brěmjo	ˈbʀʲɪmʲo	ˈbʀʲɪmʲɔ		
brodìti	upper_sorbian	brodźić	ˈbʀodʑit͡ʃ	ˈbʀɔd͡ʒit͡ʃ		
pěsъ̀kъ	upper_sorbian	pěsk	pʲɪsk	ˈpʲɪsk		
etì	upper_sorbian	jebać	ˈjɛbat͡ʃ	ˈjɛbat͡ʃ		
mȇdъ	upper_sorbian	měd	mʲɪt	ˈmʲɪt		
olni	upper_sorbian	ɫoni	ˈwonʲi	ˈwɔnʲi	!	USo loni
sě̄dló	upper_sorbian	sydɫo	ˈsɨdwo	ˈsɨdwɔ		
òrmo	upper_sorbian	ramjo	ˈʀamʲo	ˈʀamʲɔ		
pręsti	upper_sorbian	přasć	pʃast͡ʃ	ˈpʃast͡ʃ		
stornà	upper_sorbian	strona	ˈstʀona	ˈstʀɔna		
gojiti	upper_sorbian	hójić	ˈxʊjit͡ʃ	ˈhʊjit͡ʃ	!	USo hojić
čьrvь	upper_sorbian	čerw	t͡ʃɛʀ	t͡ʃɛɐ̯		
cě̄và	upper_sorbian	cywa	ˈt͡sɨwa	ˈt͡sɨwa		
gorno	upper_sorbian	hrono	ˈʀono	ˈʀonɔ		
dȏmъ	upper_sorbian	dom	dom	ˈdom		
solvьjь	upper_sorbian	syɫobik	ˈsɨwobʲik	ˈsɨwobʲik		
teplъ	upper_sorbian	ćopɫy	ˈtopwɨ	ˈtopwɨ		
bliskati	upper_sorbian	bɫyskać	ˈbwɨskatɕ	ˈbɨskat͡ʃ		
čьxati	upper_sorbian	čichać	ˈt͡ʃixaɕ	ˈt͡ʃixat͡ʃ		
vȏzъ	upper_sorbian	wóz	wʊs	ˈwʊs		
edъvà	upper_sorbian	lědma	ˈlʲɪdma	ˈlʲɪdma		
bràtъ	upper_sorbian	bratr	bʀatʀ	ˈbʀat		
nȅbo	upper_sorbian	njebjo	ˈnʲɛbʲo	ˈnebʲɔ		
žьlna	upper_sorbian	žoɫma	ˈʒowma	ˈʒoma		
teti	upper_sorbian	ćepać	ˈt͡ʃɛpat͡ʃ	ˈt͡ʃɛpat͡ʃ		
vỳgъn̨a	upper_sorbian	wuheń	ˈulʲen	ˈwuhɛn		
būčàti	upper_sorbian	bučeć	ˈbut͡ʃɛt͡ʃ	ˈbut͡ʃɛt͡ʃ		
borzdà	upper_sorbian	brózda	ˈbʀʊzda	ˈbʀʊzda		
gȏlsъ	upper_sorbian	hɫós	wʊs	ˈwʊs		
gȏrdъ	upper_sorbian	hród	ʀʊt	ˈʀʊt		
sě̀verъ	upper_sorbian	sowjer	ˈsovʲɛɐ	ˈsowʲɛɐ̯		
nuriti	upper_sorbian	nurić	ˈnuʀʲit͡ʃ	ˈnuʀʲit͡ʃ		
vȇrsъ	upper_sorbian	wrjós	wʀʲʊs	ˈʀʲʊs		
golvà	upper_sorbian	hɫowa	ˈwowa	ˈwowa		
mьglà	upper_sorbian	mihel	ˈmʲihel	ˈmʲihɛl		
dē̌žà	upper_sorbian	dźěža	ˈdʑɪʒa	ˈd͡ʒɪʒa		
lě̑pъ	upper_sorbian	lěp	ˈlɪp	ˈlɪp		
plotъ	upper_sorbian	pɫót	pwʊt	ˈpʊt		
bȏrъ	upper_sorbian	bór	bʊʀ	ˈbʊɐ̯		
čérdъ	upper_sorbian	črjóda	ˈt͡sʀʲʊda	ˈt͡sʀʲʊda		
àstrě̄bъ	upper_sorbian	jatřob	ˈjat͡ʃob	ˈjat͡ʃop		
osìna	upper_sorbian	wosa	ˈosa	ˈwɔsa		
mȏltъ	upper_sorbian	mɫót	mwʊt	ˈmʊt		
kȏlsъ	upper_sorbian	kɫós	kwʊs	ˈkʊs		
pòrgъ	upper_sorbian	próh	pʀʊh	ˈpʀʊ		
gorà	upper_sorbian	hora	ˈora	ˈhɔra		
ǫgorь	upper_sorbian	wuhor	ˈuor	ˈwuhɔɐ̯		
nȏktь	upper_sorbian	nóc	ˈnʊt͡s	ˈnʊt͡s		
vorta	upper_sorbian	wrota	ˈʀota	ˈʀɔta		
gornъ	upper_sorbian	hrono	ˈʀono	ˈʀɔnɔ		
drobà	upper_sorbian	drobina	ˈdʀobʲina	ˈdʀobʲina		
vȏrgъ	upper_sorbian	wróh	ʀʊ	ˈʀʊ		
bьčelà	upper_sorbian	pčola	ˈpt͡ʃola	ˈpt͡ʃɔla		
ležàti	upper_sorbian	ležeć	ˈlɛʒɛt͡ʃ	ˈleʒɛt͡ʃ		
dvьrь	upper_sorbian	 dwěrja	ˈdvʲɪʀʲa	ˈdvʲɪʀʲa		
bȏsъ	upper_sorbian	bosy	ˈbosɨ	ˈbɔsɨ		
grě́xъ	upper_sorbian	hrěch	ʀʲɪx	ˈʀʲɪx		
gvozdъ	upper_sorbian	hózdź	ʊɕt͡ʃ	ˈhʊst͡ʃ		
edvà	upper_sorbian	lědma	ˈlʲɪdma	ˈlʲɪdma		
àstrę̄bъ	upper_sorbian	jatřob	ˈjat͡ʃob	ˈjat͡ʃop		
dȇrvo	upper_sorbian	drjewo	ˈdʀʲɛwo	ˈdʀʲɛwɔ		
dě̄rà	upper_sorbian	dźěra	ˈdʑɪʀa	ˈd͡ʒɪʀa		
ajьce	upper_sorbian	jejko	ˈjɛjko	ˈjekɔ		
àbolnь	upper_sorbian	jaboɫń	ˈjabownʲ	ˈjabojn		
bèrza	upper_sorbian	brěza	ˈbʀʲɪza	ˈbʀʲɪza		
brȏdъ	upper_sorbian	bród	bʀʊt	ˈbʀʊt		
nȏsъ	upper_sorbian	nós	nʊs	ˈnʊs		
dъždžь	upper_sorbian	dešć	dɛɕt͡ʃ	ˈdeʃt͡ʃ		
blě̑dъ	upper_sorbian	blědy	ˈblɪdɨ	ˈblɪdɨ		
koterъ	upper_sorbian	kotry	ˈkotʀɨ	ˈkotʀɨ		
kyprъ	upper_sorbian	kipry	ˈkʲipʀɨ	ˈkʲipʀɨ		
bòlto	upper_sorbian	bɫóto	ˈbwʊto	ˈbʊtɔ		
lь̑stь	upper_sorbian	lesć	lɛst͡ʃ	ˈlɛst͡ʃ		
netopyr'ь	upper_sorbian	njetopyŕ	ˈnʲɛtopɨʀʲ	ˈnʲɛtopɨɐ̯		
mȃzъ	upper_sorbian	maz	mas	ˈmas		
vě̑no	upper_sorbian	wěno	ˈvʲɪno	ˈvʲɪnɔ		
cě̄lìti	upper_sorbian	cylić	ˈt͡sɨlit͡ʃ	ˈt͡sɨlit͡ʃ		
bȏlь	upper_sorbian	ból	bʊl	ˈbʊl		
moltiti	upper_sorbian	mɫócić	ˈmwʊt͡sit͡ʃ	ˈmʊt͡sit͡ʃ		
mȃzь	upper_sorbian	maz	mas	ˈmas		
dertì	upper_sorbian	drěć	dʀʲɪt͡ʃ	ˈdʀʲɪt͡ʃ		
erębъkъ	upper_sorbian	jerjab	ˈjɛʀʲap	ˈjeʀʲap		
pȇktь	upper_sorbian	pěc	pʲɪt͡s	ˈpʲɪt͡s		
gȏldъ	upper_sorbian	hɫód	wʊt	ˈwʊt		
ěti	upper_sorbian	jěć	jɪt͡ʃ	ˈjɪt͡ʃ		
però	upper_sorbian	pjero	ˈpʲɛʀo	ˈpʲɛʀɔ		
ostrъ	upper_sorbian	wótry	ˈwʊtʀɨ	ˈwʊtʀɨ		
lȇdъ	upper_sorbian	lód	lʊt	ˈlʊt		
kъlpь	upper_sorbian	koɫṕ	kow	ˈkow		
mъxъ	upper_sorbian	moch	mox	ˈmox		
neže	upper_sorbian	njež	nʲɛʃ	nʲɛʃ		
dikъ	upper_sorbian	dźiki	ˈdʑikʲi	ˈd͡ʒikʲi		
blizno	upper_sorbian	bɫuzna	ˈbwuzna	ˈbuzna		
svòrka	upper_sorbian	sroka	ˈsʀoka	ˈsʀoka		
bȏrnь	upper_sorbian	bróń	bʀʊnʲ	ˈbʀʊjn		
měšъkъ	upper_sorbian	měch	mʲɪx	ˈmʲɪx		
bordà	upper_sorbian	broda	ˈbʀoda	ˈbʀɔda		
osъ̀tъ	upper_sorbian	wóst	wʊst	ˈwʊst		
ȃje	upper_sorbian	jejo	ˈjɛjo	ˈjejɔ		
dvòrъ	upper_sorbian	dwór	dwʊɐ	ˈdwʊɐ̯		
jьměti	upper_sorbian	měć	mʲɪt͡ʃ	ˈmʲɪt͡ʃ		
òrmę	upper_sorbian	ramjo	ˈʀamʲo	ˈʀamʲɔ		
bl̨ьvàti	upper_sorbian	bleć	ˈblɛt͡ʃ	ˈblet͡ʃ		
vě̀trъ	upper_sorbian	wětr	vʲɪtʀ	ˈwʲɪt		
čakati	upper_sorbian	čakać	ˈtʃakat͡ʃ	ˈtʃakat͡ʃ		
luska	upper_sorbian	ɫuska	ˈwuska	ˈwuska		
mě̑xъ	upper_sorbian	měch	mʲɪx	ˈmʲɪx		
moldьnъ	upper_sorbian	mɫódny	ˈmwʊdnɨ	ˈmʊdnɨ		
vъ̑šь	upper_sorbian	woš	woʃ	ˈwɔʃ		
pь̀sъ	upper_sorbian	pos	pos	ˈpɔs		
vòn̨ь	upper_sorbian	wón	wʊn	ˈwʊn		
esètrъ	upper_sorbian	jesetr	ˈjɛsɛtʀ	ˈjɛsɛt		
dě̀lo	upper_sorbian	dźěɫo	ˈdʑɪwo	ˈd͡ʒɪwɔ		
blizna	upper_sorbian	bɫuzna	ˈbwuzna	ˈbuzna		
jesìka	upper_sorbian	wosa	ˈosa	ˈwɔsa		
dérnъ	upper_sorbian	drěn	dʀʲɪn	ˈdʀʲɪn		
vòrna	upper_sorbian	wróna	ˈʀʊna	ˈʀʊna		
erębь	upper_sorbian	jerjab	ˈjɛʀʲap	ˈjeʀʲap		
jьmela	upper_sorbian	jemjel	ˈjɛmʲɛl	ˈjemʲɛl		
sě̀ti	upper_sorbian	syć	sɨt͡ʃ	ˈsɨt͡ʃ		
śěrъ	upper_sorbian	šěry	ˈʃɪʀɨ	ˈʃɪʀɨ		
vòn̨a	upper_sorbian	wón	wʊn	ˈwʊn		
bȇrgъ	upper_sorbian	brjóh	bʀʲʊh	ˈbʀʲʊ		
čixati	upper_sorbian	čichać	ˈt͡ʃixaɕ	ˈt͡ʃixat͡ʃ		
černь	upper_sorbian	črona	ˈt͡ʃʀona	ˈt͡ʃʀɔna		
bojati sę	upper_sorbian	bojeć so	ˈbojɛt͡ʃ so	ˈbɔjɛt͡ʃ sɔ		
ežь	upper_sorbian	jěž	jɪʃ	ˈjɪʃ		
vòl̨a	upper_sorbian	wola	ˈola	ˈwɔla		
tě̑sto	upper_sorbian	ćěsto	ˈtɕɪsto	ˈt͡ʃɪstɔ		
dęglь	upper_sorbian	dźehel	ˈdʑɛhɛl	ˈd͡ʒɛhɛl		
emelo	upper_sorbian	jemjel	ˈjɛmʲɛl	ˈjemʲɛl		
bliscati	upper_sorbian	bɫyskać	ˈbwɨskatɕ	ˈbɨskat͡ʃ		
ògn'ь	upper_sorbian	woheń	ˈowʲen	ˈwohen		
čь̀rnъ	upper_sorbian	čorny	ˈt͡ʃoʀnɨ	ˈt͡ʃɔɐ̯nɨ		
pretivъ	upper_sorbian	přećiwo	ˈpʃɛt͡ʃiwo	ˈpʃet͡ʃiwɔ		
mě̀ra	upper_sorbian	měra	ˈmʲɪʀa	ˈmʲɪʀa		
solvikъ	upper_sorbian	syɫobik	ˈsɨwobʲik	ˈsɨwobʲik		
mьgà	upper_sorbian	mihel	ˈmʲihel	ˈmʲihɛl		
jelьša	upper_sorbian	wólša	ˈwʊlʃa	ˈwʊlʃa		
ěbàti	upper_sorbian	jebać	ˈjɛbat͡ʃ	ˈjɛbat͡ʃ		
gatь	upper_sorbian	hat	hat	ˈhat		
òsmь	upper_sorbian	wósom	ˈwʊsom	ˈwʊsom		
vȇrskъ	upper_sorbian	wrjós	wʀʲʊs	ˈʀʲʊs		
žę̄dàti	upper_sorbian	žadać	ˈʒadat͡ʃ	ˈʒadat͡ʃ		
blekota	upper_sorbian	blekot	ˈblɛkot	ˈblɛkɔt		
ledva	upper_sorbian	lědma	ˈlɪdma	ˈlɪdma		
svě̑tъ	upper_sorbian	svět	sfʲɪt	ˈswʲɪt		
melkò	upper_sorbian	mloko	ˈmloko	ˈmlokɔ		
bridъkъ	upper_sorbian	britki	ˈbʀʲitkʲi	ˈbʀʲitkʲi		
erębъ	upper_sorbian	jerjab	ˈjɛʀʲap	ˈjeʀʲap		
čerdìti	upper_sorbian	črjódźić	ˈt͡sʀʲʊdʑit͡ʃ	ˈt͡sʀʲʊd͡ʒit͡ʃ		
nogъtь	upper_sorbian	nochć	noxt͡ʃ	ˈnoxt͡ʃ		
čȇrvo	upper_sorbian	črjewo	ˈt͡sʀʲɛwo	ˈt͡sʀʲɛwɔ		
sě̀jati	upper_sorbian	syć	sɨt͡ʃ	ˈsɨt͡ʃ		
kòrva	upper_sorbian	kruwa	ˈkʀuwa	ˈkʀuwa		
lь̑nъ	upper_sorbian	len	lɛn	ˈlɛn		
bolěti	upper_sorbian	boleć	ˈbolɛt͡ʃ	ˈbɔlɛt͡ʃ		
eterъ	upper_sorbian	wot(e)ry	ˈotɛʀɨ	ˈwɔtɛʀɨ		
nòžь	upper_sorbian	nóž	nʊʃ	ˈnʊʃ		
ȁsenь	upper_sorbian	jaseń	ˈjasɛnʲ	ˈjasen		
àsъtrę̄bъ	upper_sorbian	jatřob	ˈjat͡ʃob	ˈjat͡ʃop		
vỳgъn̨ь	upper_sorbian	wuheń	ˈulʲen	ˈwuhen		
drobъ	upper_sorbian	drob	dʀop	ˈdʀop		
pě̀na	upper_sorbian	pěna	ˈpʲɪna	ˈpʲɪna		
kotorъ	upper_sorbian	kotry	ˈkotʀɨ	ˈkɔtʀɨ		
bol̨eje	upper_sorbian	bóle	ˈbʊlɛ	ˈbʊlɛ		
serdà	upper_sorbian	srjeda	ˈsʀʲɛda	ˈsʀʲɛda		
blьščati	upper_sorbian	bɫysćeć	ˈbwɨst͡ʃɛt͡ʃ	ˈbɨst͡ʃɛt͡ʃ		
šȇstь	upper_sorbian	šěsć	ʃɪst͡ʃ	ˈʃɪst͡ʃ		
akъ	upper_sorbian	jakny	ˈjaknɨ	ˈjaknɨ		
bě̄dà	upper_sorbian	běda	ˈbʲɪda	ˈbʲɪda		
dòrga	upper_sorbian	dróha	ˈdʀʊha	ˈdʀʊha		
rě̑čь	upper_sorbian	rěč	ʀʲɪt͡ʃ	ˈʀʲɪt͡ʃ		
želza	upper_sorbian	žaɫza	ˈʒawza	ˈʒawza		
àblonь	upper_sorbian	jaboɫń	ˈjabownʲ	ˈjabojn		
šȇstъ	upper_sorbian	šesty	ˈʃɛstɨ	ˈʃestɨ		
orsti	upper_sorbian	rośc	ʀoɕt͡s	ˈʀɔst͡ʃ	!	USo rosć
blǭdìti	upper_sorbian	bɫudzić	ˈbwudziɕt͡ʃ	ˈbud͡zit͡ʃ		
òlkomъ	upper_sorbian	ɫakomy	ˈwakomɨ	ˈwakomɨ		
divь	upper_sorbian	dźiwi	ˈdʑivʲi	ˈd͡ʒiwʲi		
gryzati	upper_sorbian	hryzać	ˈʀɨzat	ˈʀɨzat͡ʃ		
blě̑skъ	upper_sorbian	blěsk	blɪsk	ˈblɪsk		
sě̑no	upper_sorbian	syno	ˈsɨno	ˈsɨnɔ		
vòlga	upper_sorbian	wɫoha	ˈwoha	ˈwoha		
sъdòrvъ	upper_sorbian	strowy	ˈstʀowɨ	ˈstʀowɨ		
blъxà	upper_sorbian	tcha	txa	tka		
